title,authors,journal,publication_date,doi,pmid,pmcid,abstract,url,source_database,is_preprint,relevance_score,tags
Challenging cases of Epstein-Barr virus positive lymphomas.,Porwit A,Polish journal of pathology : official journal of the Polish Society of Pathologists,2026 Jun 25,10.5114/pjp.2026.162572,42429425,,"Epstein-Barr virus (EBV)-associated lymphomas can develop in both immuno- competent and immunocompromised patients, such as those with human immunodeficiency virus (HIV) infection, other primary or acquired immunodeficiencies, or post transplantation. The current World Health Organization classification consolidated immunodeficiency/dysregulation-related lymphoproliferative disorders into three major histopathological categories: hyperplasia, lymphoproliferative disorder of varied malignant potential, and lymphoma; and reporting the histopathological category, the presence or absence of causally associated viruses (EBV, KSHV/HHV-8), and the immune deficiency/dysregulation setting is recommended. In hematopathology practice, EBV is best confirmed by EBV-encoded RNA in situ hybridization, while immunohistochemistry is used as a complementary test for the presence of EBV-related proteins. Often, additional analyses such as fluorescence in situ hybridization and polymerase chain reaction for B- and T-cell clonality have to be applied for the final classification. This review, summarizing a lecture given at the 10th Course of the Academy of Immunohistochemistry in Cracow, Poland (June 2026), presents some challenging examples of EBV-related lymphomas. Cases include EBV+ mucocutaneous ulcer with subsequent EBV+ diffuse large B-cell lymphoma, EBV+ diffuse large B-cell lymphoma with plasma cell differentiation, post therapy EBV+ Burkitt lymphoma and cutaneous NK/T-cell lymphoma.",https://pubmed.ncbi.nlm.nih.gov/42429425/,PubMed,False,5,review_guideline
Real-world outcomes of plasmablastic lymphoma: Treatment approaches and survival outcomes in the PLASMABLAT-001 cohort.,Martinez-Cordero H; Spirko P; Pellon IK; Korin L; Colunga-Pedraza PR; Osorio-Llanes E; Fuentes-Lacouture C; Idrobo H; Noboa A; Villela L; Robles A; Von-Glasenapp A; Britos PN; Rodriguez-Fraga Y; Valcarcel B; Malpica L; Castillo JJ,Leukemia research,2026 Aug,10.1016/j.leukres.2026.108265,42314548,,"BACKGROUND: Plasmablastic lymphoma (PBL) is a rare and aggressive malignancy frequently associated with human immunodeficiency virus (HIV) infection and lacking standardized treatment strategies. We developed the PLASMABLAT-001 retrospective cohort to describe treatment patterns and outcomes in PBL. METHODS: We retrospectively analyzed 86 patients diagnosed between 2008 and 2023 across six Latin American centers. Overall survival (OS) and progression-free survival (PFS) were estimated using the Kaplan-Meier method, and Cox regression models identified prognostic factors. RESULTS: The cohort was predominantly male (87%), with a median age of 41 years; 72% were HIV-positive. Advanced-stage disease and extranodal involvement (89%) were common. EPOCH-based regimens were used in 75% of patients. Complete response rates were 51% in first-line and 30% in second-line therapy. After a median follow-up of 26.1 months (95% CI, 17.9-42.5), the 2-year OS was 60% (95% CI, 48-72%), while median OS was not reached. Median PFS was 9 months (95% CI, 6-12). HIV-negative patients had improved OS and PFS. In multivariable analysis, HIV negativity, ECOG performance status 0-2, and absence of MYC rearrangements were associated with improved OS. CONCLUSION: PBL remains a highly aggressive disease with suboptimal outcomes in Latin America. HIV status, ECOG performance status, and MYC rearrangements are important prognostic factors. Prospective studies are needed to optimize treatment strategies.",https://pubmed.ncbi.nlm.nih.gov/42314548/,PubMed,False,2,prognosis;treatment
